Measurement Mode,Photometric,,,,,,,,,
FileVersion,2,,,,,,,,,
,,,,,,,,,,
No. of Total Measurement,4,,,,,,,,,
Sample Name,Date:Time,Check,Judge,OD230,OD260,OD280,OD550,OD650,Pathlength(mm),Dilution
Blank,22/7/2029 10:48,,,-0.005,0.038,-0.057,-0.008,-0.007,0.201,1
prot_1to1,22/7/2029 10:49,C,,6.525,0.493,0.643,4.224,5.827,0.201,1
prot_1to1.5,22/7/2029 10:50,C,,7.481,0.51,0.688,4.765,9.468,0.201,1
prot_1t2,22/7/2029 10:51,C,,7.191,0.625,0.826,5.124,11.91,0.201,1
Wavelength(nm),Blank,prot_1to1,prot_1to1.5,prot_1t2,,,,,,
335,-0.038,0.207,0.257,0.371,,,,,,
336,-0.034,0.199,0.243,0.351,,,,,,
337,-0.033,0.189,0.224,0.328,,,,,,
338,-0.031,0.174,0.204,0.301,,,,,,
339,-0.033,0.157,0.179,0.27,,,,,,
340,-0.032,0.145,0.159,0.246,,,,,,
341,-0.03,0.136,0.143,0.227,,,,,,
342,-0.029,0.127,0.129,0.209,,,,,,
343,-0.029,0.117,0.118,0.194,,,,,,
344,-0.031,0.109,0.107,0.179,,,,,,
345,-0.034,0.098,0.09,0.16,,,,,,
346,-0.036,0.088,0.074,0.144,,,,,,
347,-0.036,0.08,0.064,0.133,,,,,,
348,-0.035,0.078,0.061,0.13,,,,,,
349,-0.031,0.081,0.066,0.134,,,,,,
350,-0.03,0.078,0.063,0.131,,,,,,
351,-0.032,0.073,0.057,0.124,,,,,,
352,-0.034,0.069,0.052,0.118,,,,,,
353,-0.036,0.068,0.052,0.116,,,,,,
354,-0.039,0.064,0.046,0.11,,,,,,
355,-0.04,0.06,0.043,0.106,,,,,,
356,-0.04,0.061,0.045,0.108,,,,,,
357,-0.042,0.06,0.044,0.107,,,,,,
358,-0.046,0.054,0.034,0.098,,,,,,
359,-0.048,0.048,0.024,0.09,,,,,,
360,-0.046,0.054,0.036,0.101,,,,,,
361,-0.045,0.058,0.046,0.11,,,,,,
362,-0.047,0.051,0.036,0.101,,,,,,
363,-0.051,0.036,0.01,0.077,,,,,,
364,-0.047,0.038,0.012,0.078,,,,,,
365,-0.041,0.048,0.025,0.091,,,,,,
366,-0.037,0.053,0.034,0.101,,,,,,
367,-0.035,0.052,0.035,0.102,,,,,,
368,-0.034,0.051,0.033,0.099,,,,,,
369,-0.032,0.052,0.033,0.099,,,,,,
370,-0.03,0.054,0.037,0.103,,,,,,
371,-0.027,0.055,0.039,0.104,,,,,,
372,-0.026,0.054,0.037,0.102,,,,,,
373,-0.028,0.05,0.034,0.099,,,,,,
374,-0.029,0.051,0.033,0.099,,,,,,
375,-0.029,0.052,0.035,0.1,,,,,,
376,-0.031,0.053,0.038,0.102,,,,,,
377,-0.033,0.049,0.034,0.097,,,,,,
378,-0.035,0.042,0.022,0.085,,,,,,
379,-0.034,0.038,0.015,0.078,,,,,,
380,-0.03,0.042,0.021,0.086,,,,,,
381,-0.027,0.046,0.026,0.09,,,,,,
382,-0.026,0.047,0.028,0.091,,,,,,
383,-0.025,0.047,0.027,0.089,,,,,,
384,-0.026,0.043,0.022,0.082,,,,,,
385,-0.026,0.04,0.016,0.076,,,,,,
386,-0.026,0.037,0.011,0.072,,,,,,
387,-0.028,0.032,0.006,0.064,,,,,,
388,-0.029,0.026,-0.002,0.054,,,,,,
389,-0.029,0.024,-0.008,0.047,,,,,,
390,-0.027,0.024,-0.007,0.047,,,,,,
391,-0.026,0.024,-0.006,0.046,,,,,,
