10		10		10		10	
20220913 biotin dsnPPR10C2 IMAC001:10_UV		20220913 biotin dsnPPR10C2 IMAC001:10_Cond		20220913 biotin dsnPPR10C2 IMAC001:10_Conc		20220913 biotin dsnPPR10C2 IMAC001:10_Fractions	
ml	 mAU	ml	 mS/cm	ml	 %B	ml	(Fractions)
   8.495	   -5.420000	   8.744	   16.443000	   9.993	    9.500000	         	            
   8.636	   -5.395000	   8.889	   16.456000	  10.159	    9.700000	         	            
   8.778	   -5.363000	   9.035	   16.468000	  10.326	    9.900000	         	            
   8.919	   -5.152000	   9.181	   16.489000	  10.492	   10.000000	         	            
   9.061	   -4.992000	   9.327	   16.512000	  10.659	   10.200000	         	            
   9.202	   -4.902000	   9.472	   16.537000	  10.826	   10.400000	         	            
   9.344	   -4.637000	   9.618	   16.562000	  10.992	   10.500000	         	            
   9.486	   -4.479000	   9.764	   16.586000	  11.159	   10.700000	         	            
   9.627	   -4.167000	   9.909	   16.612000	  11.325	   10.900000	         	            
   9.769	   -3.880000	  10.055	   16.645000	  11.492	   11.000000	         	            
   9.910	   -3.557000	  10.201	   16.673000	  11.658	   11.200000	         	            
  10.052	   -3.277000	  10.347	   16.698000	  11.825	   11.400000	         	            
  10.193	   -2.861000	  10.492	   16.725000	  11.991	   11.500000	         	            
  10.335	   -2.240000	  10.638	   16.745000	  12.158	   11.700000	         	            
  10.477	   -1.608000	  10.784	   16.758000	  12.324	   11.900000	         	            
  10.618	   -0.874000	  10.930	   16.769000	  12.491	   12.000000	         	            
  10.760	    0.131000	  11.075	   16.787000	  12.658	   12.200000	         	            
  10.901	    1.057000	  11.221	   16.802000	  12.824	   12.400000	         	            
  11.043	    2.115000	  11.367	   16.813000	  12.991	   12.500000	         	            
  11.184	    3.383000	  11.512	   16.825000	  13.157	   12.700000	         	            
  11.326	    4.843000	  11.658	   16.838000	  13.324	   12.900000	         	            
  11.468	    6.546000	  11.804	   16.847000	  13.490	   13.000000	         	            
  11.609	    8.564000	  11.950	   16.858000	  13.657	   13.200000	         	            
  11.751	   11.133000	  12.095	   16.868000	  13.823	   13.400000	         	            
  11.892	   14.555000	  12.241	   16.882000	  13.990	   13.500000	         	            
  12.034	   19.603000	  12.387	   16.894000	  14.156	   13.700000	         	            
  12.175	   26.182000	  12.533	   16.917000	  14.323	   13.900000	         	            
